gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2845600258	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/181945170	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Salzburg - Kapuzinerberg		PRESENT	3	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.801934	13.051064	24.0						2019-10-02T00:00:00	2	10	2019	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.181945170				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:15.936Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2845598261	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/181940710	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Faistenau		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.775683	13.277091	25.0						2019-11-05T00:00:00	5	11	2019	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.181940710				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:05:59.390Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2845552390	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/183987480	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Salzburg - Kapuzinerberg		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.801525	13.051685	25.0						2020-01-08T00:00:00	8	1	2020	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.183987480				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:05:44.836Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2845549196	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/183065526	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Salzburg - Kapuzinerberg		PRESENT	50	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.802055	13.050539	25.0						2019-12-11T00:00:00	11	12	2019	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.183065526				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:22.743Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2845537208	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/185041873	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Salzburg - Plainberg		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.839195	13.043396	25.0						2019-10-22T00:00:00	22	10	2019	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.185041873				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:49.512Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2845519395	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/185777398	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Salzburg - Kapuzinerberg		PRESENT	12	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.802094	13.050989	25.0						2020-02-23T00:00:00	23	2	2020	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.185777398				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:05:55.424Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2845406198	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/171637060	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Elsbethen		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.765363	13.129351	100.0						2019-04-27T00:00:00	27	4	2019	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.171637060				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:05:56.501Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2845330117	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/186424293	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Salzburg - Kapuzinerberg		PRESENT	14	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.80217	13.050732	25.0						2020-03-11T00:00:00	11	3	2020	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.186424293				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:05:46.496Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2845317277	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/186425711	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Salzburg - Kapuzinerberg		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.801701	13.050642	25.0						2020-03-11T00:00:00	11	3	2020	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.186425711				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:21.331Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2845313968	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/180810566	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Elsbethen		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.757	13.135687	25.0						2019-09-29T00:00:00	29	9	2019	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.180810566				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:08.721Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
