Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
22878797,Heinrichs Geheimnis,Jo Pestum,"Pestum, Jo",,"=""3122620707""","=""9783122620707""",0,3.09,Klett,Paperback,137,1996,1992,,2021/03/30,to-read,to-read (#380),to-read,,,,0,,,0,,,,,
22738563,We Should All Be Feminists,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",,"=""""","=""""",5,4.44,Vintage,Kindle Edition,64,2014,2014,2021/03/20,2020/01/17,,,read,,,,1,,,0,,,,,
32051912,The Alice Network,Kate Quinn,"Quinn, Kate",,"=""0062654195""","=""9780062654199""",0,4.27,William Morrow Paperbacks,Paperback,503,2017,2017,,2021/01/18,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
53375824,Lore,Alexandra Bracken,"Bracken, Alexandra",,"=""1484778200""","=""9781484778203""",3,3.95,Disney-Hyperion,Hardcover,480,2021,2021,2021/03/19,2021/01/18,,,read,,,,1,,,0,,,,,
53138197,Of Women and Salt: A Novel,Gabriela  Garcia,"Garcia, Gabriela",,"=""1250776686""","=""9781250776686""",0,3.88,Flatiron Books,Hardcover,224,2021,2021,,2021/03/16,to-read,to-read (#379),to-read,,,,0,,,0,,,,,
55884863,"Mujeres del alma mía: Sobre el amor impaciente, la vida larga y las brujas buenas",Isabel Allende,"Allende, Isabel",,"=""""","=""""",0,4.10,Plaza & Janés,Paperback,192,2020,2020,,2021/03/08,to-read,to-read (#378),to-read,,,,0,,,0,,,,,
37486222,"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather   Morris,"Morris, Heather",,"=""0062797158""","=""9780062797155""",0,4.26,Harper Paperbacks,Paperback,272,2018,2018,,2018/09/18,to-read,to-read (#87),to-read,,,,0,,,0,,,,,
7015403,The Gifts of Imperfection,Brené Brown,"Brown, Brené",,"=""159285849X""","=""9781592858491""",0,4.20,Hazelden Publishing,Paperback,138,2010,2010,,2021/02/25,to-read,to-read (#377),to-read,,,,0,,,0,,,,,
13588356,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,"Brown, Brené",,"=""1592407331""","=""9781592407330""",0,4.26,Avery,Hardcover,287,2012,2012,,2021/02/25,to-read,to-read (#376),to-read,,,,0,,,0,,,,,
51791252,The Vanishing Half,Brit Bennett,"Bennett, Brit",,"=""""","=""""",5,4.26,Riverhead Books,Hardcover,343,2020,2020,2021/02/19,2020/12/26,,,read,,,,1,,,0,,,,,
51777543,Data Feminism,Catherine D’Ignazio,"D’Ignazio, Catherine",Lauren F. Klein,"=""0262044005""","=""9780262044004""",0,4.43,MIT Press,Hardcover,328,2020,2020,,2021/01/07,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
35846237,La perra,Pilar Quintana,"Quintana, Pilar",,"=""9588979730""","=""9789588979731""",0,3.94,Literatura Random House,Paperback,112,2017,2017,,2021/02/11,to-read,to-read (#375),to-read,,,,0,,,0,,,,,
1003280,A Clockwork Orange,Anthony Burgess,"Burgess, Anthony",Blake Morrison,"=""0140188827""","=""9780140188820""",2,3.99,Penguin Books,Paperback,149,1996,1962,2021/02/05,2020/07/03,,,read,,,,1,,,0,,,,,
49411111,El enemigo conoce el sistema,Marta Peirano,"Peirano, Marta",,"=""8417636390""","=""9788417636395""",0,4.17,Debate,Paperback,304,2019,,,2021/02/05,to-read,to-read (#374),to-read,,,,0,,,0,,,,,
28815371,The Mothers,Brit Bennett,"Bennett, Brit",,"=""0399184511""","=""9780399184512""",0,3.88,Riverhead Books,Hardcover,288,2016,2016,,2021/02/01,to-read,to-read (#373),to-read,,,,0,,,0,,,,,
51554723,El infinito en un junco,Irene Vallejo,"Vallejo, Irene",,"=""8417860797""","=""9788417860790""",0,4.30,Siruela,Paperback,452,2019,2019,,2021/02/01,to-read,to-read (#372),to-read,,,,0,,,0,,,,,
18964913,Y las montañas hablaron,Khaled Hosseini,"Hosseini, Khaled",,"=""""","=""""",4,4.05,Ediciones Salamandra,Kindle Edition,384,2013,2012,2021/01/29,2018/09/14,,,read,,,,1,,,0,,,,,
43788350,Blindness,José Saramago,"Saramago, José",,"=""009957358X""","=""9780099573586""",5,4.14,Vintage Classics,Paperback,309,2013,1995,2014/08/31,2014/08/21,,,read,,,,2,,,0,,,,,
